<<<<<<< HEAD
Time (s),Volume (m^3),N2,Ne,He,Ar,C7H10(1),O2(2),C7H10(146),C7H10(153),C7H9(5),C5H7(210),C2H4(115),C7H11(22),C7H10(21),C7H10(65),C7H10(18),C7H10(238),S(66),C7H11(46),C7H10(187),C7H12(16),C7H8(58),C5H8(336),S(388),C7H9O2(68),s(399),OH(22),H2O(23),S(118),S(196),S(362),S(361),C7H10(38),S(410),S(340),S(358),S(336),C7H8(308),S(197),S(793),S(853),S(958),S(950),S(1019)
0.0,0.2850529324002427,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.008608828060404e-23,0.2850529324002427,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,1.5461449228562633e-26,9.7469579916091487e-27,1.9383841815145127e-16,7.1060731858549007e-44,7.1060731858561234e-44,1.9383841815148053e-16,1.0326100325202191e-17,1.9935880930673274e-31,1.7957357725197885e-16,1.5965647590714083e-43,4.9186387236409945e-29,1.1881426549616306e-31,1.0064806608687637e-43,1.5686293347705833e-35,1.510338175789321e-46,1.4772952933220818e-62,2.9047717822807583e-101,4.9186343174880274e-29,2.9047717822807571e-101,1.3240016343127549e-63,4.3223966539494051e-78,2.9365156472729854e-29,1.739173993004068e-42,1.0765200877073757e-56,1.4716590074789168e-57,1.9311302028169006e-19,3.1038853348909185e-101,2.0766238685450249e-42,3.7300959513645809e-47,3.5558004899312493e-47,3.1191807056353189e-63,1.3240016334963415e-63,8.1641782379987886e-73,3.223606414960445e-86,1.7677333642951366e-99,2.9039488914056221e-100,5.1143474388271129e-114
1.962410471856913e-22,0.2850529324002427,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,9.3387153327392491e-26,5.8871626261044696e-26,5.4274757082380817e-16,8.4363300862392751e-43,8.436330086242012e-43,5.4274757082398488e-16,2.8913080910566111e-17,1.204127208203188e-30,5.0280601622084815e-16,1.8954416817254269e-42,2.9708577890725091e-28,7.1763816359623258e-31,1.1948938404294809e-42,9.4745211821486914e-35,2.2824230557721643e-45,3.3046504793792588e-61,3.0952597443072983e-99,2.9708525580918503e-28,3.0952597443072955e-99,2.9617386959429568e-62,1.7836490819926515e-76,1.7736554508103917e-28,2.0647416290879762e-41,2.4081323742541262e-55,3.2920423330176975e-56,5.4071645673015782e-19,3.3074306858248391e-99,2.4653480508316825e-41,4.4283699135393923e-46,4.2214462759938002e-46,8.7965886756014588e-62,2.9617386925740034e-62,3.3689710079531616e-71,2.4266504467889424e-84,2.4129473297095527e-97,3.963875924199512e-98,1.2617049759226171e-111
4.485509649958659e-22,0.2850529324002427,76.950000000000003,0.0,0.0,0.0,0.99999999999999634,9.5,4.496189433697146e-25,2.8344153827187578e-25,1.2405658761675012e-15,8.2828389054087239e-42,8.2828389054141327e-42,1.2405658761683514e-15,6.6087042081293852e-17,5.7973541744976264e-30,1.1492708938198172e-15,1.8609558824167735e-41,1.4303401408248248e-27,3.4551188406195389e-30,1.1731538578314946e-41,4.5615741057105086e-34,2.4553265830156224e-44,6.5294324661371823e-60,7.0440869761226529e-97,1.4303350050257717e-27,7.0440869761226405e-97,5.8518965677338569e-61,7.0559383912817006e-75,8.5393875001324807e-28,2.0271634265893185e-40,4.7580637615682561e-54,6.5045208919399979e-55,1.2359233293927963e-18,7.5269383971070544e-97,2.420451383907134e-40,4.3477998411467413e-45,4.1446408475408809e-45,1.9134501879225738e-60,5.8518965544066135e-61,1.3327314261204324e-69,1.9186795388125252e-82,3.8118653933675855e-95,6.2619524566641133e-96,3.9828274819350799e-109
9.53170800616215e-22,0.2850529324002427,76.950000000000003,0.0,0.0,0.0,0.99999999999999223,9.5,1.9636040499929583e-24,1.2378636636518069e-24,2.6362024868508038e-15,7.3260772116391048e-41,7.3260772116487296e-41,2.6362024868545174e-15,1.4043496442274893e-16,2.5318568780486056e-29,2.442200647662675e-15,1.645994402422854e-40,6.2466711789209768e-27,1.5089411717920929e-29,1.0376413011272743e-40,1.992159255361061e-33,2.2568681689855231e-43,1.1618776207669987e-58,1.1904195581379457e-94,6.2466257535160922e-27,1.1904195581379413e-94,1.0413137277380153e-59,2.518214293245632e-73,3.729374869828086e-27,1.792981482985276e-39,8.4667202236573466e-53,1.1574447386542439e-53,2.6263370737808837e-18,1.2720193136722403e-94,2.1407872136033092e-39,3.8455797225068544e-44,3.6658876457012863e-44,3.5472142060338582e-59,1.0413137229816165e-59,4.7564237846723418e-68,1.3713919040765087e-80,5.452749154206046e-93,8.9575188098823321e-94,1.1398341413176595e-106
1.962410471856913e-21,0.28505293240024265,76.950000000000003,0.0,0.0,0.0,0.9999999999999839,9.5,8.197660362673443e-24,5.1678371156081786e-24,5.4274757082010741e-15,6.1580093256004253e-40,6.1580093256166578e-40,5.4274757082165799e-15,2.8913080910565752e-16,1.0570004068120879e-28,5.0280601499280731e-15,1.3835574722915024e-39,2.6078622511816809e-26,6.29953235652397e-29,8.722000352004078e-40,8.3168727347676112e-33,1.9307982745076515e-42,1.9596764311673362e-57,1.7430364553906072e-92,2.6078240686544372e-26,1.7430364553905943e-92,1.7563278036908367e-58,8.5084769531885381e-72,1.5569405941963935e-26,1.5070726174355531e-38,1.4280361119369448e-51,1.9521997255816864e-52,5.4071645588083044e-18,1.8625164720575118e-92,1.7993351185952767e-38,3.2324414707964419e-43,3.0813990363441755e-43,6.0967550273694113e-58,1.7563277876200407e-58,1.6070880892662384e-66,9.2747300477233372e-79,7.378361918253313e-91,1.2120824523568421e-91,3.085342086788069e-104
3.980889814338309e-21,0.28505293240024276,76.950000000000003,0.0,0.0,0.0,0.99999999999996725,9.5,3.3490117332007204e-23,2.1112300790414412e-23,1.1010022150836277e-14,5.0487080963001902e-39,5.0487080963268525e-39,1.1010022150899623e-14,5.8652249847146826e-16,4.3181915519881861e-28,1.0199779132777594e-14,1.1343240042681763e-38,1.0653968220169848e-25,2.5735645162831615e-28,7.1508228336385359e-39,3.3977138858190809e-32,1.5964214187128311e-41,3.218774423194048e-56,2.3834549159629426e-90,1.065365518104972e-25,2.3834549159629064e-90,2.8847736922940832e-57,2.7974010685195082e-70,6.360610335789615e-26,1.235529571644055e-37,2.3455535823765945e-50,3.2064939053176811e-51,1.0968819513868123e-17,2.5468337323968375e-90,1.4749978305960428e-37,2.6501508144154314e-42,2.5263164178035856e-42,1.010492475562536e-56,2.8847736394568236e-57,5.2837539812321068e-65,6.1012271583810518e-77,9.7095093551044218e-89,1.5950323446870738e-89,8.1211276263576084e-102
8.017848499301101e-21,0.28505293240024276,76.950000000000003,0.0,0.0,0.0,0.99999999999993394,9.5,1.3537240821646035e-22,8.5339294952460536e-23,2.2175115035845337e-14,4.0885747128517586e-38,4.0885747128949785e-38,2.2175115036101373e-14,1.1813058772030639e-15,1.7454820667881417e-27,2.0543217011751539e-14,9.1860498388140855e-38,4.3065042965602973e-25,1.0402759252088235e-27,5.7909217023673174e-38,1.3734102780590956e-31,1.2981834945988455e-40,5.2177720479006587e-55,3.1523472940535703e-88,4.3062507963406711e-25,3.152347294053476e-88,4.6763424711710172e-56,9.0733033163945705e-69,2.571060388094901e-25,1.0004673382731046e-36,3.8022433702398197e-49,5.1978647781432516e-50,2.2092129364007665e-17,3.3684314190090355e-88,1.1941582701180557e-36,2.1461608405585023e-41,2.0458754289085347e-41,1.6453251777770667e-55,4.6763422997946333e-56,1.713772908557028e-63,3.9586842822952869e-75,1.2601070122947398e-86,2.0700442925638003e-87,2.1080441793546999e-99
1.6091765869226687e-20,0.2850529324002427,76.950000000000003,0.0,0.0,0.0,0.99999999999986733,9.5,5.4432649432766451e-22,3.4314554835716487e-22,4.4505300804818159e-14,3.2908406266565804e-37,3.290840626726185e-37,4.4505300805847584e-14,2.3708726346661522e-15,7.0185066176987958e-27,4.1230092422799053e-14,7.3937320123773626e-37,1.7316264366886278e-24,4.1829037420320533e-27,4.6610375431497141e-37,5.5224223284429203e-31,1.047032195119266e-39,8.4030610330161044e-54,4.1012902539301106e-86,1.7314224088867053e-24,4.1012902539298642e-86,7.531105394669293e-55,2.9230855280480623e-67,1.0338120684562995e-24,8.051077842326314e-36,6.1233955264216435e-48,8.3710009208928669e-49,4.4338748824366405e-17,4.3824216246281957e-86,9.6062649564297876e-36,1.7274169582590911e-40,1.6466967528660299e-40,2.6555619042591347e-54,7.5311048425574653e-55,5.5211475158653565e-62,2.5509606697830478e-73,1.62410359167101e-84,2.6680006839008406e-85,5.4341009827020474e-97
3.2239600609077856e-20,0.28505293240024265,76.950000000000003,0.0,0.0,0.0,0.99999999999973421,9.5,2.1829926563925096e-21,1.3761670981360428e-21,8.9165672338583162e-14,2.6406923526552425e-36,2.6406923527669741e-36,8.916567234271081e-14,4.7500061495919167e-15,2.8147350610572948e-26,8.2603841857292625e-14,5.9330041927533118e-36,6.9445964978548946e-24,1.6775314853085744e-26,3.740189019535036e-36,2.2147383542084828e-30,8.4103348320460239e-39,1.3488773970769035e-52,5.2924978093302737e-84,6.9429594834170677e-24,5.2924978093296364e-84,1.2089092073839588e-53,9.3854146247175303e-66,4.1460487328421068e-24,6.4579908567436374e-35,9.8294052902173477e-47,1.3437310172623607e-47,8.8831986785402503e-17,5.6552829504396799e-84,7.6998349092201074e-35,1.386143323299418e-39,1.3213675830331059e-39,4.2674180841303695e-53,1.208909030112442e-53,1.7727245543717602e-60,1.6382084289743081e-71,2.0860314840193401e-82,3.4268340116606824e-83,1.3959527022055025e-94
