<<<<<<< HEAD
Time (s),Volume (m^3),N2,Ne,He,Ar,C7H10(1),O2(2),C7H10(146),C7H10(153),C7H9(5),C5H7(210),C2H4(115),C7H11(22),C7H10(21),C7H10(65),C7H10(18),C7H10(238),S(66),C7H11(46),C7H10(187),C7H12(16),C7H8(58),C5H8(336),S(388),C7H9O2(68),s(399),OH(22),H2O(23),S(118),S(196),S(362),S(361),C7H10(38),S(410),S(340),S(358),S(336),C7H8(308),S(197)
0.0,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.982962889619748e-23,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,2.0503133359202495e-26,1.240502976690736e-26,1.1283420169607716e-16,4.6752345079241209e-44,4.6752345079244714e-44,1.1283420169608451e-16,1.146181999772202e-17,8.356853249821749e-32,2.6344902756013279e-16,2.350032239524434e-43,1.2647870814896109e-29,8.0263992605303113e-32,1.421842182546601e-43,4.7559322869946976e-36,2.218256294493888e-47,5.0398055494561411e-63,5.4635976439718749e-102,1.2647860216678977e-29,5.4635976439718718e-102,2.1567221781514624e-64,3.1740090436327718e-79,7.4297418853405302e-30,4.2707427393981437e-43,3.0784802046032685e-57,4.2582632360165991e-58,3.4985311783966289e-19,5.8516997815495937e-102,5.0174968065329891e-43,4.8317000238722048e-48,4.9503187219258158e-48,5.0850508712584853e-64,2.156722178151465e-64
1.6752296090935293e-22,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,0.99999999999999856,9.5,1.238389254741077e-25,7.4926379782757368e-26,3.1593576474895067e-16,5.5504384078037294e-43,5.550438407804514e-43,3.15935764748995e-16,3.2093095993621628e-17,5.0475393627436461e-31,7.3765727705790158e-16,2.7899582744438659e-42,7.6393139721810431e-29,4.8479451533570453e-31,1.6880110389259872e-42,2.8725831013645579e-35,3.3522289178711347e-46,1.1273843421957978e-61,5.8218872648247443e-100,7.6393013899869863e-29,5.8218872648247372e-100,4.8245012436750593e-63,1.3097637190902841e-77,4.4875640984131877e-29,5.0702113848263348e-42,6.8864370755351478e-56,9.5255645274985531e-57,9.7958872985639275e-19,6.2354402091392526e-100,5.9567236737213522e-42,5.7361942683875925e-47,5.8770183048268825e-47,1.4340657088322379e-62,4.8245012436750712e-63
3.8290962493566386e-22,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,0.99999999999999678,9.5,5.962311178534778e-25,3.6073826548121966e-25,7.2213889085443589e-16,5.4494533424246133e-42,5.4494533424261605e-42,7.2213889085464967e-16,7.3355647985420744e-17,2.4301729248251273e-30,1.6860737756115582e-15,2.7391975773990981e-41,3.6780008329474779e-28,2.3340769049573207e-30,1.6572992473769719e-41,1.3830251090871258e-34,3.6061749145152343e-45,2.2275214796873714e-60,1.324925326026746e-97,3.6779884796944885e-28,1.3249253260267428e-97,9.5324014596608975e-62,5.1812950216279318e-76,2.1605689397582857e-28,4.9779331116085789e-41,1.3606439184585634e-54,1.8820910307358197e-55,2.2390599535111983e-18,1.4190403002010854e-97,5.8482438217875431e-41,5.6318295479632122e-46,5.7700912485620525e-46,3.1194061689127774e-61,9.5324014596609476e-62
8.136829529882858e-22,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,0.99999999999999323,9.5,2.6038979342200331e-24,1.5754387789459558e-24,1.5345451430643599e-15,4.8199797682647898e-41,4.8199797682675457e-41,1.5345451430652935e-15,1.5588075196901861e-16,1.0613203624968899e-29,3.5829067709513484e-15,2.4227892355798875e-40,1.6062795934666848e-27,1.0193527060822925e-29,1.465862415259617e-40,6.0400340047809523e-34,3.3146960651709315e-44,3.96375545715315e-59,2.2390652280747138e-95,1.6062686671894398e-27,2.2390652280747042e-95,1.6962399083745702e-60,1.8491673902099006e-74,9.4357721892288221e-28,4.4028712223169107e-40,2.4211931494043698e-53,3.3490804280014933e-54,4.7580023993061941e-18,2.3981153737509306e-95,5.1725225610765189e-40,4.981289456895415e-45,5.1035800567558443e-45,5.7828533659193802e-60,1.6962399083745884e-60
1.6752296090935295e-21,0.5587030993282504,76.950000000000003,0.0,0.0,0.0,0.99999999999998601,9.5,1.0870761285461004e-23,6.5771467693527728e-24,3.1593576474800215e-15,4.0514834207701703e-40,4.0514834207748188e-40,3.159357647483918e-15,3.209309599362127e-16,4.4308035909812409e-29,7.3765727545608334e-15,2.0365003344819216e-39,6.7059011058318259e-27,4.2555968878876579e-29,1.2321456836364555e-39,2.5215952988313593e-33,2.8357923208208909e-43,6.685452933386772e-58,3.2784847089111602e-93,6.7058092644789582e-27,3.2784847089111317e-93,2.8609565332910358e-59,6.2479186791969127e-73,3.939249142969263e-27,3.7007873092614374e-39,4.0836961200882769e-52,5.6487136488005874e-53,9.7958872848377224e-18,3.5113691573006786e-93,4.3475092744659656e-39,4.1870739339986465e-44,4.2898660326686034e-44,9.9392475825987993e-59,2.8609565332910986e-59
3.398322921304017e-21,0.5587030993282504,76.950000000000003,0.0,0.0,0.0,0.99999999999997158,9.5,4.441060679858723e-23,2.6869790565724562e-23,6.4089826562945986e-15,3.3216508886260827e-39,3.321650888633718e-39,6.408982656310517e-15,6.5103137587059459e-16,1.8101278395681912e-28,1.4963904693499427e-14,1.6696460110542566e-38,2.7395794097983328e-26,1.7385501853893723e-28,1.0101874725420049e-38,1.0301539573175902e-32,2.3446880136637231e-42,1.0980876518971203e-56,4.4830505249885346e-91,2.7395041136775183e-26,4.483050524988455e-91,4.6991296974369458e-58,2.0541789656016082e-71,1.6093118074052183e-26,3.0339794035472953e-38,6.7074830891827679e-51,9.2780291140491209e-52,1.9871657031666929e-17,4.8015003093573844e-91,3.5638464253273347e-38,3.4328161838907552e-43,3.517090505581606e-43,1.6473574529001588e-57,4.699129697437151e-58
6.844509545724992e-21,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,0.99999999999994271,9.5,1.7951477256031936e-22,1.0861198911389107e-22,1.2908232673856769e-14,2.6899590091605357e-38,2.6899590091729123e-38,1.2908232673921112e-14,1.3112322077393329e-15,7.3168261347287774e-28,3.0138568458255097e-14,1.3521226228676216e-37,1.1073817994666041e-25,7.0274978194418096e-28,8.1807600288814015e-38,4.1640470038657227e-32,1.9066614897038367e-41,1.7800474037695392e-55,5.9292634809591572e-89,1.1073208242853485e-25,5.9292634809589458e-89,7.617491740709155e-57,6.6626802374272715e-70,6.5050956159227209e-26,2.4567528711041944e-37,1.0873118968471575e-49,1.5040084958990977e-50,4.0023196428389941e-17,6.3504438059264785e-89,2.8852786894250999e-37,2.7799835482082375e-42,2.8482297001350469e-42,2.6822947484161623e-56,7.6174917407098206e-57
1.3736882794566943e-20,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,0.99999999999988498,9.5,7.2182099896892349e-22,4.3672402757743791e-22,2.5906732708713185e-14,2.1651130316145064e-37,2.1651130316344389e-37,2.5906732708971878e-14,2.631633871476708e-15,2.9420636022953081e-27,6.0487895535280403e-14,1.088305910232532e-36,4.4527335105902476e-25,2.8257259650096274e-27,6.5845873288785594e-37,1.6743449868671028e-31,1.5377917853367318e-40,2.8667114687240222e-54,7.7141343448825315e-87,4.452242754548975e-25,7.7141343448819805e-87,1.2267735620405171e-55,2.146471190153926e-68,2.6156703235000346e-25,1.9770184867370183e-36,1.7510822370384972e-48,2.4221592998017311e-49,8.0326274834094363e-17,8.2621014946965289e-87,2.3210099222426097e-36,2.2375726138656122e-41,2.29250083475214e-41,4.329235138318911e-55,1.2267735620407319e-55
2.752162929225084e-20,0.5587030993282506,76.950000000000003,0.0,0.0,0.0,0.99999999999976952,9.5,2.8948249988724624e-21,1.7514586503375655e-21,5.1903732777354468e-14,1.737366853649883e-36,1.7373668536818797e-36,5.1903732778391745e-14,5.2724371989510499e-15,1.1798990867918504e-26,1.2118654787938693e-13,8.7329693994962607e-36,1.7857452906039083e-24,1.1332424955476117e-26,5.2837165644999096e-36,6.7148722725054962e-31,1.2352383446606885e-39,4.6017067905547667e-53,9.9546817209806239e-85,1.7853515303281517e-24,9.954681720979202e-85,1.9692432584199558e-54,6.8918688426160282e-67,1.0490007778403911e-24,1.5858073534762824e-35,2.810874626909312e-47,3.8881020494689132e-48,1.6093243009453686e-16,1.0661804299596647e-84,1.8603599345332244e-35,1.7955111070956794e-40,1.8395839831418631e-40,6.9569665747862433e-54,1.9692432584206452e-54
