! Species         Shape    LJ-depth  LJ-diam   DiplMom   Polzblty  RotRelaxNum Data     
! Name            Index    epsilon/k_B sigma     mu        alpha     Zrot      Source   
H(3)                0     145.000     2.050     0.000     0.000     0.000    ! GRI-Mech
O(4)                0      80.000     2.750     0.000     0.000     0.000    ! GRI-Mech
OH(5)               1      80.000     2.750     0.000     0.000     0.000    ! GRI-Mech
H2(6)               1      59.700     2.833     0.000     0.000     0.000    ! PrimaryTransportLibrary
H2O(7)              2     809.102     2.641     0.000     1.760     4.000    ! PrimaryTransportLibrary
Ar(8)               0     136.501     3.330     0.000     0.000     0.000    ! GRI-Mech
He(9)               0      10.200     2.576     0.000     0.000     0.000    ! NOx2018
HO2(10)             2     107.400     3.458     0.000     0.000     1.000    ! GRI-Mech
H2O2(11)            2     289.300     4.196     0.000     0.000     0.000    ! PrimaryTransportLibrary
CO(12)              1      91.700     3.690     0.000     1.760     4.000    ! PrimaryTransportLibrary
CO2(13)             1     195.201     3.941     0.000     0.000     0.000    ! PrimaryTransportLibrary
HCO(14)             2     498.002     3.590     0.000     0.000     0.000    ! GRI-Mech
C(T)(15)            0      71.400     3.298     0.000     0.000     0.000    ! GRI-Mech
CH(16)              1      80.000     2.750     0.000     0.000     0.000    ! GRI-Mech
CH2(T)(17)          2     144.001     3.800     0.000     0.000     0.000    ! GRI-Mech
CH3(18)             2     144.001     3.800     0.000     0.000     0.000    ! GRI-Mech
CH2O(19)            2     498.002     3.590     0.000     0.000     2.000    ! GRI-Mech
HCCO(20)            2     150.001     2.500     0.000     0.000     1.000    ! GRI-Mech
C2H(21)             1     209.001     4.100     0.000     0.000     2.500    ! GRI-Mech
C2H2(22)            1     209.001     4.100     0.000     0.000     2.500    ! GRI-Mech
H2CC(23)            2     209.000     4.100     0.000     0.000     2.500    ! NOx2018
CH2(S)(24)          2     144.001     3.800     0.000     0.000     0.000    ! GRI-Mech
CH3OH(25)           2     481.802     3.626     0.000     0.000     1.000    ! GRI-Mech
CH3O(26)            2     417.002     3.690     1.700     0.000     2.000    ! GRI-Mech
CH2CO(27)           2     436.001     3.970     0.000     0.000     2.000    ! GRI-Mech
C2H3(28)            2     209.001     4.100     0.000     0.000     1.000    ! GRI-Mech
C2H4(29)            2     280.801     3.971     0.000     0.000     1.500    ! GRI-Mech
CH4(30)             2     141.400     3.746     0.000     2.600    13.000    ! GRI-Mech
C2H6(31)            2     252.301     4.302     0.000     0.000     1.500    ! GRI-Mech
C2H5(32)            2     252.301     4.302     0.000     0.000     1.500    ! GRI-Mech
CH2OH(33)           2     417.002     3.690     1.700     0.000     2.000    ! GRI-Mech
CH3CO(34)           2     436.001     3.970     0.000     0.000     2.000    ! GRI-Mech
CH2CHO(35)          2     436.001     3.970     0.000     0.000     2.000    ! GRI-Mech
CH3CHO(36)          2     436.001     3.970     0.000     0.000     2.000    ! GRI-Mech
HOCO(37)            2     498.000     3.590     0.000     0.000     2.000    ! NOx2018
HCOH(38)            2     110.700     4.443     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
CH3OO(39)           2     417.000     3.690     1.700     0.000     2.000    ! NOx2018
CH3OOH(40)          2     481.800     3.626     0.000     0.000     1.000    ! NOx2018
CH2OOH(41)          2     417.000     3.690     1.700     0.000     2.000    ! NOx2018
C2H5O(42)           2     362.600     4.530     0.000     0.000     1.500    ! NOx2018
C2H5O2(43)          2     395.000     4.037     1.300     0.000     1.000    ! NOx2018
H2CC-2(44)          2     298.358     4.485     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=387.48 K, Pc=62.39 bar (from Joback method)
C2H4O(45)           2     436.000     3.970     0.000     0.000     2.000    ! NOx2018
C2H5O(46)           2     362.600     4.530     0.000     0.000     1.500    ! NOx2018
cC2H4O(47)          2     436.000     3.970     0.000     0.000     2.000    ! NOx2018
C2H5O2(48)          2     395.000     4.037     1.300     0.000     1.000    ! NOx2018
C2H3O2(49)          2     395.000     4.037     1.300     0.000     1.000    ! NOx2018
CHCHO(50)           2     436.000     3.970     0.000     0.000     2.000    ! NOx2018
OCHCHO(51)          2     440.200     4.010     0.000     0.000     2.000    ! NOx2018
HCCOH(52)           2     436.001     3.970     0.000     0.000     2.000    ! GRI-Mech
CHCHOH(53)          2     224.701     4.162     0.000     0.000     1.000    ! GRI-Mech
C2(54)              1      97.530     3.621     0.000     1.760     4.000    ! GRI-Mech
